user,movie,rating
1,820,3
1,412,2
1,15,5
1,222,4
1,845,4
1,275,4
1,476,4
1,235,4
1,477,5
1,815,4
1,125,1
1,866,2
1,1,5
1,283,4
1,151,1
1,121,3
1,276,2
1,934,3
1,118,3
1,14,4
2,789,4
2,1217,3
2,343,4
2,1224,3
2,265,4
2,184,2
2,720,1
2,744,4
2,1220,3
2,62,3
2,572,3
2,216,3
2,860,2
2,792,4
2,155,2
2,24,4
2,174,4
2,651,5
2,471,4
2,218,3
2,211,5
2,1048,4
2,820,1
2,346,4
2,58,5
2,470,4
2,168,5
2,347,5
2,9,5
2,556,3
2,89,3
2,625,4
2,455,3
2,186,4
2,229,3
2,157,5
2,33,3
2,1119,4
2,235,4
2,45,5
2,467,4
2,180,5
2,185,5
2,79,4
2,742,3
2,700,2
2,99,3
2,227,3
2,402,4
2,257,4
2,727,5
2,738,2
2,655,4
2,561,3
2,133,4
2,214,5
2,385,2
2,109,4
2,393,3
2,313,4
2,783,2
2,153,5
2,765,3
2,1199,3
2,203,5
2,101,2
2,644,5
2,232,3
2,1074,2
2,693,4
2,829,2
2,31,4
2,562,3
2,39,3
2,34,1
2,380,3
2,1032,2
2,28,4
2,118,3
2,273,4
2,64,5
2,1206,3
2,50,5
2,1210,3
2,472,3
2,447,4
2,63,3
2,646,5
2,144,3
2,428,5
2,657,5
2,206,4
2,156,5
2,420,4
2,806,4
2,258,5
2,483,5
2,222,3
2,1044,4
2,38,2
2,942,4
2,1,4
2,588,4
2,537,4
2,946,3
2,68,4
2,576,2
2,282,3
2,921,5
2,366,3
2,731,3
2,390,5
2,100,5
2,82,4
2,685,4
2,170,5
2,650,5
2,458,4
2,684,4
2,1089,2
2,624,2
2,410,4
2,96,3
2,234,5
2,102,3
2,88,3
2,546,3
2,674,3
2,246,4
2,405,3
2,76,4
2,583,3
2,616,4
2,949,5
2,70,4
2,443,4
2,566,2
2,217,4
2,12,4
2,969,4
2,241,4
2,61,5
2,1223,4
2,1226,4
2,193,5
2,1004,3
2,334,3
2,425,5
2,448,5
2,961,4
2,723,3
2,223,5
2,715,4
2,496,3
2,1028,2
2,175,4
2,550,1
2,1153,4
2,581,4
2,135,4
2,652,4
2,202,2
2,603,4
2,421,4
2,288,3
2,52,5
2,824,4
2,55,4
2,17,2
2,541,3
2,768,3
2,696,4
2,161,3
2,1147,4
2,92,4
2,810,3
2,23,5
2,8,5
2,431,4
2,7,4
2,525,5
2,1118,4
2,318,5
2,154,5
2,11,5
2,739,2
2,274,4
2,381,4
2,629,4
2,510,5
2,419,3
2,1091,3
2,386,4
2,225,3
2,401,4
2,451,4
2,647,5
2,642,4
2,190,5
2,943,3
2,25,3
2,260,2
2,356,4
2,77,3
2,369,1
2,703,3
2,728,2
2,176,4
2,569,1
2,722,2
2,475,5
2,1014,4
2,179,5
2,192,4
2,111,4
2,528,5
2,187,4
2,763,3
2,268,4
2,90,3
2,809,2
2,66,2
2,586,1
2,56,5
2,508,5
2,786,3
2,932,2
2,93,4
2,993,4
2,741,4
2,1218,4
2,509,5
2,404,4
2,97,4
2,183,5
2,41,3
2,392,3
2,125,1
2,83,4
2,750,4
2,49,4
2,808,2
2,204,4
2,716,3
2,143,4
2,732,3
2,864,2
2,53,4
2,923,5
2,22,4
2,80,2
2,686,4
2,797,2
2,391,3
2,665,3
2,484,5
2,209,5
2,200,4
2,506,5
2,549,5
2,1222,3
2,399,4
2,670,3
2,132,4
2,160,4
2,597,2
2,230,2
2,142,3
2,432,4
2,98,4
2,29,2
2,173,4
2,281,3
2,589,5
2,54,4
2,518,5
2,191,5
2,800,3
2,219,4
2,585,3
2,1073,5
2,81,4
2,164,3
2,930,2
2,735,5
2,654,5
2,944,1
2,501,4
2,250,4
2,196,4
2,302,4
2,1012,4
2,1211,5
2,418,3
2,328,3
2,317,5
2,780,3
2,679,4
2,951,3
2,228,4
2,710,3
2,813,5
2,201,4
2,72,3
2,544,3
2,1011,4
2,286,4
2,928,3
2,210,4
2,121,2
2,436,5
2,433,4
2,194,4
2,215,4
2,1110,4
2,435,4
2,553,3
2,736,5
2,1225,3
2,1058,4
2,32,5
2,42,4
2,4,4
2,692,4
2,469,4
2,368,2
2,1046,2
2,181,4
2,1188,3
2,477,2
2,658,3
2,464,5
2,504,5
2,417,3
2,69,3
2,959,5
2,372,4
2,527,5
2,1209,2
2,1045,4
2,568,3
2,177,5
2,172,4
2,627,3
2,67,3
2,673,3
2,94,2
2,403,3
2,195,3
2,423,4
2,939,4
2,208,4
2,91,5
2,636,4
2,1009,4
2,238,5
2,746,4
2,357,5
2,1221,3
2,51,3
2,411,3
2,1135,4
2,365,3
2,587,4
2,637,3
2,47,5
2,465,5
2,245,1
2,1010,4
2,188,4
2,159,3
2,474,5
2,86,5
2,338,4
2,71,4
2,367,4
2,1219,4
2,233,3
2,584,4
2,737,4
2,248,4
2,412,2
2,823,3
2,622,3
2,127,5
2,631,5
2,134,5
2,1065,4
2,997,4
2,721,2
2,226,2
2,690,4
2,1007,4
2,355,2
2,182,5
2,559,4
2,151,5
2,293,4
2,1101,3
2,1140,2
3,546,2
3,625,4
3,787,2
3,135,3
3,1217,3
3,233,4
3,68,4
3,1,5
3,527,4
3,172,4
3,1229,2
3,1206,4
3,416,4
3,1230,1
3,174,5
3,128,3
3,636,1
3,143,4
3,395,3
3,483,3
3,573,1
3,176,3
3,720,2
3,96,4
3,843,4
3,211,3
3,976,2
3,514,2
3,15,4
3,33,3
3,173,5
3,378,4
3,518,4
3,26,3
3,289,2
3,137,3
3,32,1
3,742,4
3,737,3
3,675,2
3,474,4
3,132,3
3,417,3
3,523,4
3,24,3
3,88,4
3,505,3
3,736,4
3,202,4
3,471,5
3,2,2
3,14,5
3,83,5
3,878,1
3,510,4
3,117,4
3,204,5
3,554,3
3,403,1
3,111,4
3,655,4
3,712,2
3,660,5
3,385,4
3,151,4
3,64,5
3,862,1
3,728,3
3,404,5
3,683,4
3,366,4
3,90,2
3,674,2
3,142,4
3,185,3
3,699,2
3,622,4
3,445,4
3,422,2
3,588,3
3,768,1
3,161,3
3,568,4
3,3,1
3,265,3
3,48,4
3,371,2
3,101,1
3,791,3
3,657,5
3,550,4
3,627,4
3,498,3
3,432,3
3,357,4
3,232,4
3,747,5
3,7,5
3,69,5
3,651,5
3,402,3
3,178,5
3,181,4
3,1219,1
3,239,3
3,393,5
3,496,4
3,226,4
3,1018,3
3,591,5
3,229,3
3,79,4
3,1090,1
3,43,2
3,328,5
3,241,3
3,191,5
3,286,5
3,716,3
3,443,3
3,560,1
3,190,4
3,597,3
3,532,4
3,815,3
3,415,3
3,1231,1
3,520,4
3,127,4
3,98,4
3,892,3
3,447,2
3,140,3
3,183,5
3,175,5
3,451,3
3,180,3
3,91,5
3,436,5
3,391,2
3,82,3
3,199,5
3,1091,3
3,31,4
3,170,5
3,1101,2
3,596,2
3,449,3
3,168,4
3,28,4
3,491,4
3,708,2
3,70,4
3,463,5
3,193,3
3,971,3
3,423,5
3,205,3
3,506,3
3,94,5
3,179,3
3,649,4
3,282,4
3,356,4
3,63,3
3,779,3
3,275,3
3,210,5
3,1133,3
3,448,3
3,72,2
3,25,3
3,200,2
3,89,3
3,77,4
3,1188,2
3,705,5
3,188,3
3,153,5
3,650,4
3,542,2
3,198,5
3,141,4
3,208,4
3,121,4
3,274,4
3,78,3
3,640,3
3,1221,4
3,71,5
3,539,4
3,586,2
3,144,5
3,968,5
3,509,4
3,515,5
3,186,5
3,203,3
3,290,3
3,207,5
3,182,2
3,485,5
3,209,4
3,67,2
3,65,4
3,1228,3
3,102,4
3,960,2
3,95,3
3,1126,4
3,465,3
3,22,4
3,665,2
3,58,3
3,216,5
3,197,4
3,237,2
3,196,4
3,133,3
3,405,3
3,389,4
3,692,4
3,1047,3
3,97,4
3,707,3
3,177,3
3,257,5
3,139,4
3,228,4
3,495,4
3,781,2
3,51,4
3,99,4
3,420,4
3,1116,4
3,381,4
3,195,5
3,419,4
3,715,1
3,398,1
3,8,5
3,431,3
3,234,2
3,215,4
3,250,4
3,1227,2
3,472,5
3,399,4
3,511,4
3,566,2
3,855,3
3,739,3
3,62,4
3,49,3
3,73,4
3,552,1
3,238,5
3,110,2
3,946,3
3,671,3
3,52,4
3,294,2
3,194,5
3,392,3
3,679,2
3,462,4
3,631,4
3,648,3
3,50,5
3,450,2
3,219,4
3,473,4
3,433,4
3,507,4
3,227,2
3,623,3
3,1222,2
3,386,2
4,156,4
4,87,4
4,673,4
4,479,4
4,153,4
4,91,5
4,519,4
4,8,5
4,484,5
4,645,5
4,64,5
4,100,5
4,170,5
4,474,4
4,173,3
4,478,2
4,483,5
4,1,5
4,435,3
4,525,2
4,1232,5
4,50,5
4,23,5
4,1154,5
4,96,4
4,79,4
4,198,5
4,176,4
4,185,5
4,187,5
4,174,5
4,42,1
4,7,5
4,194,2
4,195,5
4,318,5
4,181,5
4,216,4
4,238,4
4,190,4
4,98,5
4,445,4
4,182,4
4,486,3
4,56,5
4,89,5
4,127,5
4,83,3
4,144,4
4,183,4
4,265,5
4,200,5
4,514,4
4,196,4
4,234,4
4,423,5
5,194,3
5,228,5
5,222,5
5,670,5
5,89,5
5,482,5
5,484,3
5,98,4
5,50,5
5,115,5
5,7,5
5,435,4
5,28,5
5,428,4
5,655,5
5,168,4
5,97,5
5,466,3
5,432,4
5,429,4
5,79,5
5,430,5
5,174,4
5,192,1
5,32,5
5,661,5
5,357,5
5,202,5
5,189,4
5,1,4
5,919,5
5,135,5
5,204,5
5,431,3
5,132,5
5,526,3
5,183,5
5,197,3
5,96,5
5,205,2
5,175,5
5,191,5
5,408,5
5,153,5
5,663,5
5,82,4
5,434,4
5,603,4
5,195,5
5,23,5
5,100,2
5,133,1
5,83,1
5,169,5
5,186,3
5,496,2
5,69,5
5,172,4
5,173,3
5,1126,3
5,193,4
5,208,5
5,423,5
6,47,4
6,163,3
6,517,5
6,655,3
6,321,3
6,70,3
6,209,2
6,938,3
6,116,5
6,745,3
6,173,1
6,629,5
6,523,5
6,168,2
6,514,5
6,322,3
6,88,3
6,25,5
6,428,5
6,502,2
6,435,5
6,152,3
6,988,1
6,211,4
6,210,4
6,659,5
6,194,5
7,4,5
7,268,3
7,79,4
7,111,1
7,1016,5
7,873,1
7,403,4
7,246,3
7,274,1
7,50,5
7,354,2
7,742,5
7,181,5
7,182,4
7,597,4
7,410,5
7,168,5
7,204,4
7,895,3
7,508,4
7,546,4
7,682,2
7,124,2
7,421,3
7,741,3
7,1052,1
7,118,2
7,203,4
7,1119,4
7,346,4
7,258,5
7,123,3
7,196,4
7,232,4
7,11,5
7,963,3
7,685,3
7,7,4
7,56,5
7,363,4
7,237,5
7,369,4
7,676,4
7,1067,4
7,100,5
7,322,3
7,331,3
7,312,2
7,245,3
7,69,4
7,265,3
7,926,3
7,12,5
7,255,3
7,3,3
7,871,2
7,288,4
7,827,3
7,402,4
7,107,3
7,66,3
7,762,2
7,628,4
7,328,4
7,413,3
7,694,1
7,409,2
7,748,4
7,978,3
7,406,3
7,472,3
7,273,5
7,338,4
7,815,2
7,28,3
7,64,5
7,342,1
7,92,4
7,751,4
7,829,4
7,275,1
7,619,4
7,315,4
7,125,4
7,845,3
7,358,2
7,345,3
7,201,3
7,121,3
7,475,5
7,22,5
7,300,4
7,471,4
7,405,4
7,456,3
7,238,4
7,1,4
7,595,4
7,117,5
7,367,4
7,763,5
7,25,3
7,591,4
7,332,3
7,240,4
7,1079,3
7,1132,4
7,975,3
7,173,4
7,210,5
7,105,2
7,313,5
7,147,5
7,931,2
7,651,5
7,120,2
7,282,3
7,290,4
7,780,5
7,116,2
7,1048,4
7,310,3
7,172,5
7,326,3
7,678,2
7,276,2
7,789,4
7,98,5
7,294,4
7,544,4
7,174,5
7,329,4
7,1047,4
7,473,4
7,433,4
7,348,4
8,344,4
8,354,2
8,268,3
8,321,1
8,355,4
8,750,4
8,266,2
8,288,2
8,302,4
8,340,3
8,689,3
8,905,3
8,289,3
8,691,4
8,316,5
8,1236,3
8,342,3
8,990,3
8,333,3
8,752,4
8,323,3
8,348,3
8,313,5
8,292,2
8,1238,2
8,879,4
8,300,4
8,328,4
8,1235,4
8,1237,3
8,678,3
8,286,3
8,908,1
8,690,4
8,874,1
8,880,1
8,349,3
8,310,3
8,347,4
8,1234,1
8,270,3
8,1233,3
8,326,3
8,269,4
8,258,4
8,900,4
8,886,3
8,294,4
8,272,4
8,881,1
8,895,2
8,892,2
8,887,2
8,885,2
8,346,3
8,751,4
8,271,3
8,898,4
8,315,5
9,829,3
9,304,3
9,596,3
9,222,3
9,471,3
9,405,4
9,281,2
9,252,3
9,282,3
9,369,2
9,928,2
9,1051,2
9,840,3
9,815,3
9,1034,2
9,118,3
9,1057,2
9,121,4
9,109,2
9,24,4
9,756,3
9,284,4
9,975,2
9,50,4
9,122,1
9,237,5
9,123,2
9,1093,1
9,1047,2
9,111,2
9,181,4
9,845,3
9,1,3
9,924,4
9,280,3
9,257,4
9,742,4
9,255,4
9,841,2
9,597,3
9,117,4
9,1132,3
9,147,4
9,7,3
9,926,3
9,370,2
9,288,4
9,125,4
9,979,2
9,278,2
9,820,3
9,1009,2
9,412,2
9,151,3
9,411,2
9,826,3
9,717,3
9,846,3
9,819,1
9,225,3
9,546,4
9,866,4
9,763,3
9,831,3
9,1028,3
9,472,3
9,595,2
10,768,2
10,823,3
10,70,3
10,515,1
10,524,3
10,322,3
10,625,3
10,161,2
10,448,3
10,405,2
10,300,3
10,732,3
10,432,3
10,118,3
10,1025,2
10,264,2
10,313,3
10,576,2
10,391,2
10,559,3
10,222,3
10,195,4
10,1030,1
10,734,2
10,307,4
10,66,3
10,67,1
10,809,3
10,302,3
10,89,4
10,399,2
10,83,3
10,986,1
10,202,4
10,186,4
10,62,3
10,121,3
10,217,2
10,418,3
10,686,3
10,233,3
10,173,3
10,685,3
10,326,3
10,183,4
10,271,2
10,248,3
10,176,3
10,403,3
10,810,2
10,689,3
10,239,3
10,746,2
10,358,3
10,443,3
10,797,2
10,663,3
10,565,2
10,47,2
10,831,2
10,98,4
10,298,3
10,208,4
10,510,4
10,597,3
10,167,2
10,50,4
10,184,2
10,164,3
10,568,2
10,101,4
10,675,3
10,588,4
10,445,2
10,554,2
10,99,2
10,163,2
10,578,2
10,94,2
10,393,3
10,144,3
10,866,2
10,748,3
10,827,2
10,181,2
10,840,2
10,635,2
10,385,3
10,286,3
10,629,3
10,5,3
10,530,3
10,502,3
10,96,3
10,636,3
10,930,2
10,79,2
10,444,1
10,363,2
10,720,2
10,1239,2
10,102,3
10,350,3
10,577,3
10,667,3
10,327,2
10,230,2
10,778,3
10,201,2
10,338,2
10,993,2
10,671,3
10,56,3
10,650,3
10,182,3
10,185,3
10,672,1
10,175,4
10,319,4
10,665,1
10,168,3
10,409,2
10,652,2
10,245,3
10,210,3
10,548,2
10,231,2
10,566,2
10,91,3
10,501,2
10,38,2
10,332,3
10,771,2
10,53,2
10,29,1
10,194,3
10,235,3
10,204,4
10,211,3
10,450,1
10,436,2
10,1240,2
10,187,3
10,127,2
10,82,2
10,892,2
10,260,2
10,228,4
10,188,2
10,373,2
10,218,3
10,72,3
10,386,2
10,1228,1
10,612,4
10,596,2
10,328,2
10,273,3
10,655,3
10,68,2
10,49,2
10,95,4
10,88,3
10,522,3
10,226,2
10,269,2
10,258,4
10,200,3
10,546,3
10,73,3
10,219,2
10,541,2
10,13,3
10,856,2
10,431,3
10,288,2
10,411,2
10,334,2
10,476,3
10,396,2
10,265,3
10,117,3
10,841,2
10,751,3
10,294,2
10,55,3
10,1052,2
10,229,3
10,947,3
10,384,2
10,447,4
10,11,3
10,234,3
10,550,2
10,449,4
10,785,2
10,435,3
10,760,1
10,4,2
10,153,2
10,241,3
10,511,3
10,879,3
10,792,3
10,2,2
10,174,4
10,301,3
10,1,3
10,684,2
10,1076,2
10,316,3
10,272,3
10,227,4
10,154,3
10,7,2
10,172,3
11,24,4
11,127,4
11,121,3
11,117,4
11,144,4
11,126,5
11,300,3
11,222,3
11,527,5
11,50,5
11,471,4
11,96,4
11,69,3
11,234,3
11,252,2
11,1089,1
11,204,3
11,405,3
11,301,4
11,250,4
11,255,5
11,257,3
11,211,3
11,181,4
11,487,4
11,118,3
11,294,4
11,56,5
11,98,3
12,984,1
12,117,2
12,301,2
12,285,4
12,756,2
12,299,3
12,287,2
12,300,3
12,1016,1
12,1010,1
12,293,3
12,7,3
12,411,1
12,327,2
12,249,3
12,269,5
12,324,1
12,122,3
12,100,4
12,1241,1
12,283,4
12,342,3
12,544,3
12,823,1
12,1017,1
12,347,2
12,475,4
12,25,3
12,412,3
12,282,3
12,248,2
12,546,1
12,1226,3
12,751,4
12,744,1
12,235,2
12,288,2
12,827,2
12,1011,3
12,150,5
12,312,3
12,147,3
12,245,2
12,354,3
12,325,1
12,346,3
12,713,3
12,331,3
12,1012,4
12,1115,4
12,126,4
12,10,2
12,845,3
12,840,1
12,257,4
12,258,3
12,302,5
12,313,4
12,289,4
12,290,4
12,748,2
12,508,2
12,316,4
12,181,5
12,333,2
12,628,4
12,13,3
12,111,1
12,294,3
12,273,3
12,456,3
12,3,3
12,276,4
12,255,1
12,405,3
12,534,2
12,237,3
12,130,1
12,311,1
12,345,4
12,307,2
12,750,5
12,591,4
12,270,4
12,871,2
12,15,5
12,330,1
12,124,2
12,1028,2
12,926,1
12,825,1
12,847,2
12,332,2
12,50,5
12,271,1
12,250,3
12,127,3
12,272,4
12,895,2
12,286,1
12,268,3
12,246,3
12,340,3
12,222,3
12,678,2
12,310,2
12,121,2
12,328,3
12,407,2
12,471,3
12,9,2
13,268,4
13,258,5
13,272,4
13,307,2
13,286,4
13,333,3
13,752,3
13,324,4
13,288,4
13,270,5
13,748,2
13,690,3
13,264,2
13,271,2
13,313,5
13,340,3
13,327,4
13,302,5
13,269,4
13,343,2
13,751,2
13,880,3
13,347,3
14,526,4
14,582,4
14,778,4
14,107,4
14,692,3
14,660,4
14,703,4
14,828,2
14,435,3
14,213,4
14,69,4
14,286,4
14,273,3
14,45,3
14,97,5
14,584,4
14,165,5
14,15,3
14,64,4
14,77,4
14,923,4
14,8,4
14,1,4
14,223,4
14,86,3
14,285,4
14,22,4
14,88,3
14,1115,4
14,313,4
14,48,3
14,194,5
14,196,5
14,684,4
14,699,4
14,956,3
14,1028,3
14,210,4
14,274,3
14,12,4
