id,age,sex,profession,zip-code
194,38,M,administrator,2154
940,32,M,administrator,2215
891,51,F,administrator,3062
79,39,F,administrator,3755
523,50,F,administrator,4102
8,36,M,administrator,5201
788,51,M,administrator,5779
218,37,M,administrator,6513
328,51,M,administrator,6779
509,23,M,administrator,10011
95,31,M,administrator,10707
48,45,M,administrator,12550
768,29,M,administrator,12866
317,22,M,administrator,13210
326,41,M,administrator,15235
131,59,F,administrator,15237
720,49,F,administrator,16506
296,43,F,administrator,16803
436,30,F,administrator,17345
42,30,M,administrator,17870
525,27,F,administrator,19711
799,49,F,administrator,19716
282,22,M,administrator,20057
439,23,F,administrator,20817
562,54,F,administrator,20879
922,29,F,administrator,21114
513,43,M,administrator,26241
452,35,M,administrator,28018
750,28,M,administrator,32303
873,48,F,administrator,33763
802,35,M,administrator,34105
819,59,M,administrator,40205
34,38,F,administrator,42141
438,51,F,administrator,43204
238,42,F,administrator,44124
529,47,F,administrator,44224
716,36,F,administrator,44265
86,26,M,administrator,46005
151,38,F,administrator,48103
494,38,F,administrator,49428
80,34,F,administrator,52241
174,30,F,administrator,52302
447,30,M,administrator,55113
879,33,F,administrator,55337
277,35,F,administrator,55406
665,25,M,administrator,55412
225,51,F,administrator,58202
180,22,F,administrator,60202
688,37,F,administrator,60476
78,26,M,administrator,61801
666,44,M,administrator,61820
237,49,M,administrator,63146
89,43,F,administrator,68106
72,48,F,administrator,73034
383,42,M,administrator,75204
803,70,M,administrator,78212
400,33,F,administrator,78213
266,62,F,administrator,78756
539,53,F,administrator,80303
726,25,F,administrator,80538
455,48,M,administrator,83709
261,28,M,administrator,85202
87,47,M,administrator,89503
672,54,F,administrator,90095
118,21,M,administrator,90210
784,47,M,administrator,91040
7,57,M,administrator,91344
852,46,M,administrator,94086
500,28,M,administrator,94305
748,28,M,administrator,94720
762,32,M,administrator,95050
191,33,M,administrator,95161
190,30,M,administrator,95938
394,25,M,administrator,96819
163,49,M,administrator,97212
62,27,F,administrator,97214
409,48,M,administrator,98225
571,34,M,artist,1945
150,20,F,artist,2139
31,24,M,artist,10003
836,44,M,artist,10018
433,27,M,artist,11211
865,25,M,artist,11231
162,25,M,artist,15610
123,48,F,artist,20008
782,21,F,artist,33205
23,30,F,artist,48197
823,27,M,artist,50322
840,39,M,artist,55406
837,36,F,artist,55409
96,25,F,artist,75206
826,28,M,artist,77048
596,20,M,artist,77073
146,45,M,artist,83814
260,40,F,artist,89801
920,30,F,artist,90008
410,30,F,artist,94025
24,21,F,artist,94533
381,33,M,artist,94608
189,32,M,artist,95014
239,39,M,artist,95628
902,45,F,artist,97203
97,43,M,artist,98006
601,19,F,artist,99687
841,45,M,doctor,47401
138,46,M,doctor,53211
299,29,M,doctor,63108
935,42,M,doctor,66221
251,28,M,doctor,85032
427,51,M,doctor,85258
845,64,M,doctor,97405
426,55,M,educator,1602
329,48,M,educator,1720
568,39,M,educator,1915
420,53,M,educator,2140
524,56,M,educator,2159
932,58,M,educator,6437
156,25,M,educator,8360
59,49,M,educator,8403
858,63,M,educator,9645
358,40,M,educator,10022
656,48,M,educator,10314
450,35,F,educator,11758
604,39,M,educator,11787
547,50,M,educator,14534
570,26,M,educator,14627
412,25,M,educator,15222
51,28,M,educator,16509
187,26,M,educator,16801
315,31,M,educator,18301
85,51,M,educator,20003
572,51,M,educator,20003
791,31,M,educator,20064
240,23,F,educator,20784
903,28,M,educator,20850
740,25,F,educator,22206
673,51,M,educator,22906
235,37,M,educator,22973
555,29,F,educator,23227
686,32,M,educator,26506
158,50,M,educator,27606
615,38,M,educator,27705
13,47,M,educator,29206
556,35,F,educator,30606
242,33,M,educator,31404
931,60,M,educator,33556
330,35,F,educator,33884
254,44,M,educator,42647
64,32,M,educator,43202
224,31,F,educator,43512
411,34,M,educator,44691
647,40,M,educator,45810
636,47,M,educator,48043
579,32,M,educator,48103
65,51,F,educator,48118
703,26,M,educator,49512
351,61,M,educator,49938
295,31,M,educator,50325
909,50,F,educator,53171
574,56,M,educator,53188
659,31,M,educator,54248
166,47,M,educator,55113
479,30,M,educator,55409
321,49,F,educator,55413
794,32,M,educator,57197
691,34,M,educator,60089
623,50,F,educator,60187
202,41,F,educator,60201
243,33,M,educator,60201
446,57,M,educator,60201
212,49,F,educator,61401
678,50,M,educator,61462
804,39,M,educator,61820
553,58,M,educator,62901
764,27,F,educator,62903
108,44,M,educator,63130
152,33,F,educator,68767
593,31,F,educator,68767
731,41,F,educator,70403
811,40,F,educator,73013
894,47,M,educator,74075
302,42,M,educator,77904
90,60,M,educator,78155
413,55,M,educator,78212
469,60,M,educator,78628
171,48,F,educator,78750
612,36,M,educator,79070
614,54,M,educator,80227
535,45,F,educator,80302
590,50,M,educator,82435
137,50,M,educator,84408
209,33,F,educator,85710
415,39,M,educator,85711
192,42,M,educator,90840
310,37,M,educator,91711
569,34,M,educator,91903
486,39,M,educator,93101
406,52,M,educator,93109
492,57,M,educator,94618
485,44,F,educator,95821
755,44,F,educator,97007
15,49,F,educator,97301
878,50,F,educator,98027
937,48,M,educator,98072
297,29,F,educator,98103
767,70,M,engineer,0
208,43,M,engineer,1720
786,36,F,engineer,1754
364,63,M,engineer,1810
382,45,M,engineer,1824
638,45,M,engineer,1940
848,46,M,engineer,2146
216,22,M,engineer,2215
468,28,M,engineer,2341
495,29,M,engineer,3052
210,39,M,engineer,3060
407,29,M,engineer,3261
825,44,M,engineer,5452
252,42,M,engineer,7733
627,24,M,engineer,8034
115,31,M,engineer,17110
692,34,M,engineer,18053
746,25,M,engineer,19047
268,24,M,engineer,19422
247,28,M,engineer,20770
26,49,M,engineer,21044
537,36,M,engineer,22902
934,61,M,engineer,22902
271,51,M,engineer,22932
785,32,M,engineer,23322
583,44,M,engineer,29631
61,36,M,engineer,30040
536,38,M,engineer,30078
343,43,M,engineer,30093
605,33,M,engineer,33716
882,35,M,engineer,40503
25,39,M,engineer,55107
380,32,M,engineer,55117
69,24,M,engineer,55337
884,44,M,engineer,55337
714,26,M,engineer,55343
522,36,M,engineer,55443
561,23,M,engineer,60005
435,24,M,engineer,60007
70,27,M,engineer,60067
493,22,M,engineer,60090
157,57,M,engineer,70808
821,37,M,engineer,77845
133,53,M,engineer,78602
340,46,M,engineer,80123
827,23,F,engineer,80228
41,33,M,engineer,80525
267,23,M,engineer,83716
650,42,M,engineer,83814
111,57,M,engineer,90630
467,29,M,engineer,91201
540,28,M,engineer,91201
648,43,M,engineer,91351
275,38,M,engineer,92064
487,22,M,engineer,92121
290,40,M,engineer,93550
530,29,M,engineer,94040
105,24,M,engineer,94043
664,30,M,engineer,94115
396,57,M,engineer,94551
402,30,M,engineer,95129
844,22,M,engineer,95662
148,33,M,engineer,97006
233,38,M,engineer,98682
371,36,M,engineer,99206
39,41,M,entertainment,1040
926,49,M,entertainment,1701
255,23,M,entertainment,7029
75,24,M,entertainment,8816
567,24,M,entertainment,10003
448,23,M,entertainment,10021
16,21,M,entertainment,10309
721,24,F,entertainment,11238
179,15,M,entertainment,20755
387,33,M,entertainment,37412
375,17,M,entertainment,37777
