id,age,sex,profession,zip-code
95,31,M,administrator,10707
118,21,M,administrator,90210
131,59,F,administrator,15237
151,38,F,administrator,48103
163,49,M,administrator,97212
174,30,F,administrator,52302
180,22,F,administrator,60202
190,30,M,administrator,95938
191,33,M,administrator,95161
194,38,M,administrator,2154
218,37,M,administrator,6513
225,51,F,administrator,58202
237,49,M,administrator,63146
238,42,F,administrator,44124
261,28,M,administrator,85202
266,62,F,administrator,78756
277,35,F,administrator,55406
282,22,M,administrator,20057
296,43,F,administrator,16803
317,22,M,administrator,13210
326,41,M,administrator,15235
328,51,M,administrator,6779
383,42,M,administrator,75204
394,25,M,administrator,96819
400,33,F,administrator,78213
409,48,M,administrator,98225
436,30,F,administrator,17345
438,51,F,administrator,43204
439,23,F,administrator,20817
447,30,M,administrator,55113
452,35,M,administrator,28018
455,48,M,administrator,83709
494,38,F,administrator,49428
500,28,M,administrator,94305
509,23,M,administrator,10011
513,43,M,administrator,26241
523,50,F,administrator,4102
525,27,F,administrator,19711
529,47,F,administrator,44224
539,53,F,administrator,80303
562,54,F,administrator,20879
665,25,M,administrator,55412
666,44,M,administrator,61820
672,54,F,administrator,90095
688,37,F,administrator,60476
716,36,F,administrator,44265
720,49,F,administrator,16506
726,25,F,administrator,80538
748,28,M,administrator,94720
750,28,M,administrator,32303
762,32,M,administrator,95050
768,29,M,administrator,12866
784,47,M,administrator,91040
788,51,M,administrator,5779
799,49,F,administrator,19716
802,35,M,administrator,34105
803,70,M,administrator,78212
819,59,M,administrator,40205
852,46,M,administrator,94086
873,48,F,administrator,33763
879,33,F,administrator,55337
891,51,F,administrator,3062
922,29,F,administrator,21114
940,32,M,administrator,2215
96,25,F,artist,75206
97,43,M,artist,98006
123,48,F,artist,20008
146,45,M,artist,83814
150,20,F,artist,2139
162,25,M,artist,15610
189,32,M,artist,95014
239,39,M,artist,95628
260,40,F,artist,89801
381,33,M,artist,94608
410,30,F,artist,94025
433,27,M,artist,11211
571,34,M,artist,1945
596,20,M,artist,77073
601,19,F,artist,99687
782,21,F,artist,33205
823,27,M,artist,50322
826,28,M,artist,77048
836,44,M,artist,10018
837,36,F,artist,55409
840,39,M,artist,55406
865,25,M,artist,11231
902,45,F,artist,97203
920,30,F,artist,90008
138,46,M,doctor,53211
251,28,M,doctor,85032
299,29,M,doctor,63108
427,51,M,doctor,85258
841,45,M,doctor,47401
845,64,M,doctor,97405
935,42,M,doctor,66221
108,44,M,educator,63130
137,50,M,educator,84408
152,33,F,educator,68767
156,25,M,educator,8360
158,50,M,educator,27606
166,47,M,educator,55113
171,48,F,educator,78750
187,26,M,educator,16801
192,42,M,educator,90840
202,41,F,educator,60201
209,33,F,educator,85710
212,49,F,educator,61401
224,31,F,educator,43512
235,37,M,educator,22973
240,23,F,educator,20784
242,33,M,educator,31404
243,33,M,educator,60201
